grid_id,rainfall
9,0.35852494370676063
10,0.2833059115743315
23,0.2923518883873582
24,0.24938018510722124
25,0.2626253996700813
26,0.2792995389813735
27,0.2843430558924484
69,0.3190331815566471
70,0.27436242979215913
83,0.31926951672714016
84,0.3308230130185697
85,0.3470165287130053
86,0.3377725768078664
87,0.33171682052331664
111,0.5826217594789623
129,0.3188631539778779
130,0.23132937855327604
143,0.40502934994066564
144,0.4168746206275193
145,0.3813379724881536
146,0.322476305449974
147,0.35001449872680457
171,0.606774976870467
172,0.586081281425468
203,0.4710039535459602
204,0.4657475468824159
205,0.4226675828072044
206,0.3918555688662375
207,0.42553860086612955
230,0.6593985736408486
231,0.6421477696196607
249,0.5222446066053829
250,0.5135847050027839
257,0.5051200519451282
258,0.4852879168399546
259,0.4668970681863273
260,0.4021307229333508
263,0.46931138536899625
264,0.49053771863782397
265,0.43182191977068524
266,0.36847569848874834
267,0.4530553787592552
290,0.6293661698841163
291,0.6484807261184945
299,0.5185877558698109
316,0.47812015034569894
317,0.4891311652153976
318,0.48956042549031387
319,0.4265467716906089
320,0.38363900353602043
323,0.40237293552168035
324,0.46839877772595034
325,0.4558392193236955
326,0.4522782175014715
349,0.6660089748915863
351,0.6586479729213691
359,0.5116523456240261
376,0.5153803441963426
377,0.5118237812150741
378,0.5239960604858481
379,0.4694459489432356
380,0.3870088309161906
381,0.3740743003308902
382,0.3865107834220078
383,0.3223734523072302
384,0.36021160733820096
385,0.37415384379772876
409,0.6778079259853685
419,0.4904993802617703
436,0.5540844487309028
437,0.5619405948936949
438,0.5557599854433506
439,0.5062166257789583
440,0.4214230997236837
441,0.3856538993187168
442,0.4171261101986379
443,0.3401297771118624
444,0.29708394023617074
445,0.2549033857129032
479,0.5107652015416103
491,0.5519961905490145
496,0.5719923625443953
497,0.5758720751007795
498,0.5364456409428905
499,0.5314309628162762
500,0.4782745847684353
501,0.40490814171029194
502,0.37918316706441385
503,0.4004686062619505
539,0.5712266801239215
548,0.6155604500404949
549,0.5739208989362752
555,0.6226295758058326
556,0.6205189048469609
557,0.605889479138049
558,0.5381300180628006
559,0.5123339722200483
560,0.4497300278542207
561,0.37260373057722956
562,0.3623758114096767
563,0.37156851894481463
588,0.7404136032010026
589,0.7433818039698771
599,0.5636832997775635
608,0.525835321531233
609,0.6027195463649387
615,0.6454975605969275
616,0.6297200462260499
617,0.6087878484351481
618,0.564794575895204
619,0.4763134394867685
620,0.4176608196485334
621,0.3661724440473411
622,0.33959489266262183
623,0.3344561510627468
648,0.6927906436576583
649,0.6448531059316073
659,0.5996278930326571
674,0.6862224363918749
675,0.6854681979179555
676,0.6990541244195659
677,0.6328973044338407
678,0.5321436533492285
679,0.43218733293792616
680,0.39991117638348633
681,0.3429539318528114
682,0.29110097800251594
683,0.2723404462356938
708,0.6710816390421831
709,0.6900931116920898
710,0.698334395266263
718,0.6342863938862916
719,0.5972355602424301
733,0.6803519566514641
734,0.6842731520564721
735,0.7084725986628467
736,0.7055726550743948
737,0.6448640861405281
738,0.5647253745771003
739,0.4846154253673222
740,0.4046123008761573
741,0.3386724796993604
742,0.2306582294143011
743,0.2764679346571862
744,0.298053644792794
769,0.6923378052632635
770,0.6728610792061976
771,0.62628227979044
779,0.6021129453628515
793,0.6543305109603806
794,0.6907689405874226
795,0.7129510399742772
796,0.6963102080722635
797,0.6358960235333417
798,0.5717165460873871
799,0.4928300216342578
800,0.3571419375406068
801,0.283493541574196
802,0.23683510073637135
