grid_id,urban
0.0,2.2252162244895795
1.0,1.491028342225445
2.0,2.2006123125021335
3.0,4.232149066750775
4.0,4.1250443159886405
5.0,12.745262108938784
6.0,2.6832656889322326
7.0,2.2093669639569797
8.0,3.361539673763064
9.0,3.2474671277543585
10.0,5.062313144571459
11.0,16.24371547849839
12.0,14.507571786747581
13.0,9.34528176902643
14.0,3.062123534380687
15.0,2.886253288593713
16.0,1.5879659220695819
17.0,8.488796749486456
18.0,19.013423935693748
19.0,39.99553114134238
20.0,27.9283880719493
21.0,9.931346847759754
22.0,5.311326366729186
23.0,1.9224827583440574
24.0,3.4507204319803075
25.0,10.289185880124586
26.0,35.41355793067969
27.0,39.93492507680314
28.0,28.324249824458818
29.0,22.644509784052115
30.0,15.559706426318321
31.0,6.080165216526671
32.0,1.348388053005072
33.0,7.767184249716146
34.0,30.76285387683448
35.0,29.627071109996088
36.0,31.36529129236156
37.0,16.935547438951673
38.0,8.69025109434307
39.0,3.883299476352658
40.0,4.148592541573503
41.0,7.3205178158626385
42.0,10.213777024895734
43.0,14.646777311217074
44.0,9.947480962822016
45.0,4.096765763312281
46.0,2.8930282886733307
47.0,3.949572964483922
48.0,1.662262180717323
49.0,2.248668224052444
50.0,1.5357093904004926
51.0,6.271533590089813
52.0,5.936181812827219
53.0,2.426537509579275
54.0,1.0525463911866633
55.0,1.2427337282003994
56.0,0.8127564795990544
57.0,0.5871488535259383
58.0,1.2538621931090215
59.0,2.3449336121300988
60.0,3.6253335632364685
61.0,1.518706847886442
62.0,1.6412347544368604
63.0,1.3324135024945247
