grid_id,flood
0.0,9.540860423689331
1.0,9.562091601137585
2.0,9.099026997186874
3.0,8.758677873488356
4.0,9.033276530155518
5.0,6.49898561856465
6.0,9.177991013047604
7.0,9.335255579144132
8.0,9.214171410251778
9.0,8.98907165533341
10.0,8.155871767136992
11.0,6.050730348205156
12.0,6.301660490268599
13.0,7.157286805237003
14.0,9.19458913130626
15.0,9.274773547038965
16.0,9.735737165738229
17.0,7.727903128685252
18.0,5.977384315962509
19.0,5.010348160693941
20.0,5.629332509125178
21.0,7.149165028433599
22.0,8.242827153762592
23.0,9.567620275580268
24.0,9.344404456381897
25.0,7.119583997774648
26.0,4.210483099787913
27.0,5.124128428459868
28.0,6.158578801915902
29.0,6.092339190587493
30.0,5.955247595485445
31.0,7.8739409902001265
32.0,10.001282129594022
33.0,7.570428134726285
34.0,4.885668457913493
35.0,6.143489640835225
36.0,4.755761081973206
37.0,6.3912766577856805
38.0,7.761031799100689
39.0,8.773380129973704
40.0,9.05839936113744
41.0,8.064378746840429
42.0,7.351741356100291
43.0,6.6161217267042405
44.0,7.080960285555109
45.0,8.656420676177422
46.0,9.223887863713527
47.0,10.27588653055827
48.0,9.988707009448856
49.0,9.521795468433991
50.0,9.885721384394174
51.0,9.198180233167626
52.0,8.742249877387193
53.0,9.91479212691517
54.0,10.268998838755941
55.0,10.397841044201389
56.0,10.261360376648483
57.0,10.893642760902317
58.0,9.949431136113368
59.0,10.176003804113938
60.0,9.809585926418697
61.0,10.677468100156805
62.0,10.25547202301536
63.0,9.979284469470176
