image,flood_score,heat_score,vegetation_score,urban_score
grid_0.jpg,0.030634647,0.026006231,0.011844254,0.93151486
grid_1.jpg,0.068701364,0.033488885,0.04397717,0.8538326
grid_10.jpg,0.009954242,0.087706126,0.0027476877,0.899592
grid_11.jpg,0.0034218444,0.08422162,0.00049883424,0.9118577
grid_12.jpg,0.010371646,0.1860646,0.0011299269,0.80243385
grid_13.jpg,0.01870236,0.09857129,0.0056199133,0.8771064
grid_14.jpg,0.058420453,0.017434364,0.013220933,0.9109243
grid_15.jpg,0.056835953,0.019774297,0.0031475849,0.92024213
grid_16.jpg,0.021822501,0.022669056,0.002254843,0.9532536
grid_17.jpg,0.0052223066,0.03100307,0.003541207,0.96023345
grid_18.jpg,0.004834157,0.034984373,0.00019351828,0.95998794
grid_19.jpg,0.0016831373,0.28441638,0.00040360403,0.71349686
grid_2.jpg,0.06869891,0.04940068,0.11394118,0.7679593
grid_20.jpg,0.0031866943,0.26112407,0.0003294855,0.7353597
grid_21.jpg,0.025457356,0.11865564,0.002797393,0.85308963
grid_22.jpg,0.046819754,0.055816382,0.03127631,0.86608756
grid_23.jpg,0.034787428,0.034364376,0.022594165,0.908254
grid_24.jpg,0.020894427,0.013987938,0.011053009,0.95406467
grid_25.jpg,0.005239881,0.08760656,0.001999843,0.9051537
grid_26.jpg,0.0032409101,0.0648545,0.0009249533,0.93097967
grid_27.jpg,0.0034642431,0.2770977,0.0002542705,0.7191838
grid_28.jpg,0.004014857,0.23068342,0.0016851184,0.7636166
grid_29.jpg,0.0092554325,0.096315145,0.0028708053,0.8915586
grid_3.jpg,0.0316501,0.0413659,0.005603361,0.92138064
grid_30.jpg,0.0045581306,0.047429096,0.0024250331,0.94558775
grid_31.jpg,0.010176391,0.021264834,0.0009142468,0.9676445
grid_32.jpg,0.019052645,0.02568831,0.007579154,0.9476798
grid_33.jpg,0.010918487,0.054734234,0.0050709965,0.92927635
grid_34.jpg,0.0040272656,0.121454276,0.0038439063,0.87067455
grid_35.jpg,0.003345878,0.25779432,0.0007395608,0.73812026
grid_36.jpg,0.0037443656,0.118092015,0.00037689044,0.8777867
grid_37.jpg,0.006567245,0.03587344,0.0006273215,0.95693207
grid_38.jpg,0.095629275,0.09278896,0.0009670716,0.8106147
grid_39.jpg,0.0609013,0.02169648,0.009230514,0.9081717
grid_4.jpg,0.022009842,0.04967218,0.0011876832,0.9271303
grid_40.jpg,0.011296457,0.013699485,0.0036140576,0.97138995
grid_41.jpg,0.003777839,0.031041076,0.0007841482,0.96439695
grid_42.jpg,0.020069128,0.101036645,0.003451519,0.87544274
grid_43.jpg,0.0031819942,0.021969939,0.0006432364,0.97420484
grid_44.jpg,0.009792278,0.07408469,0.0014330662,0.91468996
grid_45.jpg,0.007876244,0.024036417,0.0057890317,0.9622983
grid_46.jpg,0.1008578,0.030218324,0.017263459,0.85166043
grid_47.jpg,0.12134889,0.16284736,0.0057884306,0.7100153
grid_48.jpg,0.06371904,0.023935556,0.08376269,0.8285827
grid_49.jpg,0.04424406,0.019980356,0.0060168263,0.9297588
grid_5.jpg,0.0049651964,0.054428853,0.0010933249,0.93951267
grid_50.jpg,0.04761419,0.047741503,0.07678296,0.8278613
grid_51.jpg,0.020395692,0.044055913,0.0030585502,0.9324899
grid_52.jpg,0.008574483,0.023886502,0.0039315065,0.9636075
grid_53.jpg,0.078316554,0.033083607,0.00583466,0.88276523
grid_54.jpg,0.13567375,0.048524838,0.011222884,0.80457854
grid_55.jpg,0.22425492,0.07360328,0.02736884,0.67477304
grid_56.jpg,0.08587034,0.04679441,0.05443622,0.812899
grid_57.jpg,0.3842941,0.04074124,0.097169764,0.47779492
grid_58.jpg,0.04282574,0.019071782,0.005610886,0.93249166
grid_59.jpg,0.029138235,0.04340102,0.0025981797,0.92486256
grid_6.jpg,0.086853944,0.06212952,0.005223581,0.845793
grid_60.jpg,0.15110795,0.03664472,0.008042272,0.80420506
grid_61.jpg,0.17951956,0.06965806,0.0074707353,0.7433517
grid_62.jpg,0.111444116,0.024875367,0.022706028,0.8409745
grid_63.jpg,0.02525131,0.08927983,0.014724773,0.87074417
grid_7.jpg,0.06013733,0.038822915,0.012146749,0.888893
grid_8.jpg,0.04230101,0.011822133,0.06892519,0.87695175
grid_9.jpg,0.0119622685,0.026763016,0.0032358414,0.9580389
