grid_id,lat_min,lat_max,lon_min,lon_max
0,12.8,12.850000000000001,77.4,77.45
1,12.8,12.850000000000001,77.45,77.5
2,12.8,12.850000000000001,77.5,77.55
3,12.8,12.850000000000001,77.55,77.6
4,12.8,12.850000000000001,77.6,77.64999999999999
5,12.8,12.850000000000001,77.64999999999999,77.69999999999999
6,12.8,12.850000000000001,77.69999999999999,77.74999999999999
7,12.8,12.850000000000001,77.74999999999999,77.79999999999998
8,12.850000000000001,12.900000000000002,77.4,77.45
9,12.850000000000001,12.900000000000002,77.45,77.5
10,12.850000000000001,12.900000000000002,77.5,77.55
11,12.850000000000001,12.900000000000002,77.55,77.6
12,12.850000000000001,12.900000000000002,77.6,77.64999999999999
13,12.850000000000001,12.900000000000002,77.64999999999999,77.69999999999999
14,12.850000000000001,12.900000000000002,77.69999999999999,77.74999999999999
15,12.850000000000001,12.900000000000002,77.74999999999999,77.79999999999998
16,12.900000000000002,12.950000000000003,77.4,77.45
17,12.900000000000002,12.950000000000003,77.45,77.5
18,12.900000000000002,12.950000000000003,77.5,77.55
19,12.900000000000002,12.950000000000003,77.55,77.6
20,12.900000000000002,12.950000000000003,77.6,77.64999999999999
21,12.900000000000002,12.950000000000003,77.64999999999999,77.69999999999999
22,12.900000000000002,12.950000000000003,77.69999999999999,77.74999999999999
23,12.900000000000002,12.950000000000003,77.74999999999999,77.79999999999998
24,12.950000000000003,13.000000000000004,77.4,77.45
25,12.950000000000003,13.000000000000004,77.45,77.5
26,12.950000000000003,13.000000000000004,77.5,77.55
27,12.950000000000003,13.000000000000004,77.55,77.6
28,12.950000000000003,13.000000000000004,77.6,77.64999999999999
29,12.950000000000003,13.000000000000004,77.64999999999999,77.69999999999999
30,12.950000000000003,13.000000000000004,77.69999999999999,77.74999999999999
31,12.950000000000003,13.000000000000004,77.74999999999999,77.79999999999998
32,13.000000000000004,13.050000000000004,77.4,77.45
33,13.000000000000004,13.050000000000004,77.45,77.5
34,13.000000000000004,13.050000000000004,77.5,77.55
35,13.000000000000004,13.050000000000004,77.55,77.6
36,13.000000000000004,13.050000000000004,77.6,77.64999999999999
37,13.000000000000004,13.050000000000004,77.64999999999999,77.69999999999999
38,13.000000000000004,13.050000000000004,77.69999999999999,77.74999999999999
39,13.000000000000004,13.050000000000004,77.74999999999999,77.79999999999998
40,13.050000000000004,13.100000000000005,77.4,77.45
41,13.050000000000004,13.100000000000005,77.45,77.5
42,13.050000000000004,13.100000000000005,77.5,77.55
43,13.050000000000004,13.100000000000005,77.55,77.6
44,13.050000000000004,13.100000000000005,77.6,77.64999999999999
45,13.050000000000004,13.100000000000005,77.64999999999999,77.69999999999999
46,13.050000000000004,13.100000000000005,77.69999999999999,77.74999999999999
47,13.050000000000004,13.100000000000005,77.74999999999999,77.79999999999998
48,13.100000000000005,13.150000000000006,77.4,77.45
49,13.100000000000005,13.150000000000006,77.45,77.5
50,13.100000000000005,13.150000000000006,77.5,77.55
51,13.100000000000005,13.150000000000006,77.55,77.6
52,13.100000000000005,13.150000000000006,77.6,77.64999999999999
53,13.100000000000005,13.150000000000006,77.64999999999999,77.69999999999999
54,13.100000000000005,13.150000000000006,77.69999999999999,77.74999999999999
55,13.100000000000005,13.150000000000006,77.74999999999999,77.79999999999998
56,13.150000000000006,13.200000000000006,77.4,77.45
57,13.150000000000006,13.200000000000006,77.45,77.5
58,13.150000000000006,13.200000000000006,77.5,77.55
59,13.150000000000006,13.200000000000006,77.55,77.6
60,13.150000000000006,13.200000000000006,77.6,77.64999999999999
61,13.150000000000006,13.200000000000006,77.64999999999999,77.69999999999999
62,13.150000000000006,13.200000000000006,77.69999999999999,77.74999999999999
63,13.150000000000006,13.200000000000006,77.74999999999999,77.79999999999998
