grid_id,ndvi
0.0,0.47894221368638995
1.0,0.4989354859816141
2.0,0.5228804061749047
3.0,0.4701114731573266
4.0,0.4463574982154241
5.0,0.3703629906154968
6.0,0.4911594077585269
7.0,0.4698541228070175
8.0,0.43334205499147377
9.0,0.4620201153174857
10.0,0.44573623931433404
11.0,0.3413582152555889
12.0,0.3267134943102661
13.0,0.37962868640029435
14.0,0.44124901753173673
15.0,0.4347445604805903
16.0,0.44930644084047416
17.0,0.41209760417007446
18.0,0.35045151847008826
19.0,0.2832658302526689
20.0,0.322743245614035
21.0,0.38990724692165174
22.0,0.41029255911517926
23.0,0.4566188471177943
24.0,0.448340620019393
25.0,0.3744690275949764
26.0,0.2950687397936718
27.0,0.31901982039769095
28.0,0.3815470402345297
29.0,0.34486898390953225
30.0,0.3577877607664571
31.0,0.45677024388613074
32.0,0.4719192083469544
33.0,0.40375534810954594
34.0,0.3237789397406559
35.0,0.37643940360519523
36.0,0.30475092568377465
37.0,0.3445412237114525
38.0,0.39019997602702405
39.0,0.44566936308161703
40.0,0.4534457733337046
41.0,0.42500409643255316
42.0,0.41052025829662353
43.0,0.38749762212587635
44.0,0.35861601405650456
45.0,0.4509954332507033
46.0,0.44672156421468967
47.0,0.4128764453305561
48.0,0.48613554756456373
49.0,0.507972889865248
50.0,0.47596100359594623
51.0,0.42745754299298805
52.0,0.41669879099923723
53.0,0.4317796905306745
54.0,0.46397553394355456
55.0,0.40327559387599426
56.0,0.4926095126110363
57.0,0.5210934542797869
58.0,0.5151840538838388
59.0,0.43747281144546396
60.0,0.43300385736499797
61.0,0.4153636757829263
62.0,0.37115705065682786
63.0,0.4113466236508814
