grid_id,ndvi,lst,urban,flood,vegetation_stress,flood_norm,lst_norm,veg_norm,urban_norm,crii,risk_category
0.0,0.4789422136863899,31.940275298456697,2.2252162244895795,9.540860423689333,0.5210577863136101,0.7975834177531218,0.9899658138322529,0.18337028254397358,0.04156647078279253,0.5031214962280353,High
1.0,0.4989354859816141,31.619431453864134,1.491028342225445,9.562091601137585,0.5010645140183859,0.8007602350857652,0.873022581627227,0.09993098333492734,0.02293622412861518,0.44916250604413366,Moderate
2.0,0.5228804061749047,30.44061780132904,2.200612312502133,9.099026997186874,0.4771195938250953,0.7314719601631972,0.44336098450378536,0.0,0.040942138837173625,0.303943770876039,Moderate
3.0,0.4701114731573266,29.88267323553657,4.232149066750775,8.758677873488356,0.5298885268426734,0.6805455808820287,0.23999775340343987,0.2202242197265316,0.09249301802352163,0.30831514300888047,Moderate
4.0,0.4463574982154241,30.37096862715288,4.1250443159886405,9.033276530155518,0.5536425017845759,0.7216337293913184,0.41797480463515235,0.31935831810296555,0.08977520154529366,0.3871855134186825,Moderate
5.0,0.3703629906154968,31.24668770177749,12.745262108938784,6.49898561856465,0.6296370093845032,0.3424282277875633,0.7371625366617529,0.6365114266208316,0.30851591843118276,0.5061545273753327,High
6.0,0.4911594077585269,30.36379861137334,2.6832656889322326,9.177991013047604,0.5088405922414732,0.7432873319132061,0.4153614310755458,0.13238342573396933,0.05318961890131514,0.3360554519060091,Moderate
7.0,0.4698541228070175,31.18930629888189,2.20936696395698,9.335255579144132,0.5301458771929826,0.7668188011689181,0.7162477931310125,0.2212982376543584,0.041164290850187205,0.43638228070111906,Moderate
8.0,0.4333420549914737,31.967804953715188,3.361539673763064,9.214171410251778,0.5666579450085263,0.7487009983582391,1.0,0.37367656303383523,0.07040103295726657,0.5481946485873352,High
9.0,0.4620201153174857,31.519941694163776,3.2474671277543585,8.98907165533341,0.5379798846825143,0.7150193617772522,0.8367599128344505,0.2539924402477527,0.06750640649999197,0.46831953033986184,Moderate
10.0,0.445736239314334,30.21913296475674,5.062313144571459,8.155871767136992,0.554263760685666,0.5903478096303918,0.3626327638765261,0.3219510606299969,0.11355869059433757,0.3471225811828131,Moderate
11.0,0.3413582152555889,30.18045351410632,16.24371547849839,6.050730348205156,0.658641784744411,0.2753558708352608,0.34853462842774086,0.7575590517424398,0.39729026455909255,0.4446849538911335,Moderate
12.0,0.3267134943102661,30.3994193285962,14.50757178674758,6.301660490268599,0.6732865056897339,0.3129025036837122,0.4283446996521718,0.8186768735150003,0.3532350765264805,0.4782897883443412,Moderate
13.0,0.3796286864002943,30.528088596537657,9.34528176902643,7.157286805237003,0.6203713135997058,0.4409297181084728,0.475242903660531,0.5978422607358462,0.22224035616423082,0.4340638096672702,Moderate
14.0,0.4412490175317367,30.716832108789788,3.062123534380687,9.19458913130626,0.5587509824682633,0.7457709054174024,0.5440373553930318,0.34067789210644905,0.06280325497197371,0.42332235197221424,Moderate
15.0,0.4347445604805903,31.60144951055878,2.886253288593713,9.274773547038963,0.5652554395194097,0.75776888538476,0.8664684070438682,0.3678233903555097,0.05834049259562145,0.5126002938449398,High
16.0,0.4493064408404741,31.612150692405407,1.587965922069582,9.735737165738229,0.5506935591595259,0.8267427902551399,0.8703688427687535,0.3070512928992608,0.025396045471601555,0.5073897428486889,High
17.0,0.4120976041700744,31.44062369662703,8.488796749486456,7.727903128685252,0.5879023958299257,0.5263109378282931,0.8078495779151176,0.4623374916924239,0.20050678148246148,0.499251197229574,Moderate
18.0,0.3504515184700882,30.636887156733906,19.013423935693748,5.977384315962509,0.6495484815299117,0.2643811169820188,0.5148985040500591,0.7196093436351565,0.467572481092798,0.4916153614400081,Moderate
19.0,0.2832658302526689,30.84227045586408,39.99553114134238,5.010348160693941,0.7167341697473311,0.1196836678255645,0.5897579325415574,1.0,1.0,0.6773604000917804,High
20.0,0.322743245614035,30.35680912966211,27.9283880719493,5.629332509125178,0.677256754385965,0.21230218658290667,0.4128138597366373,0.8352461856319708,0.6937924784310728,0.5385386775956469,High
21.0,0.3899072469216517,29.22421869786365,9.931346847759754,7.149165028433599,0.6100927530783483,0.4397144580794987,0.0,0.5549460367403025,0.23711194044934653,0.3079431088172869,Moderate
22.0,0.4102925591151792,30.32049728674241,5.311326366729186,8.242827153762592,0.5897074408848209,0.6033589287768555,0.39957868521196005,0.46987061044343426,0.11987747882418867,0.39817142581410964,Moderate
23.0,0.4566188471177943,31.11009540633069,1.9224827583440571,9.567620275580268,0.5433811528822057,0.8015874896663868,0.687376496527067,0.2765339245414471,0.03388451459553955,0.4498456063326101,Moderate
24.0,0.448340620019393,31.465938055386687,3.4507204319803075,9.344404456381897,0.551659379980607,0.7681877460545232,0.8170763185381489,0.31108201939978297,0.07266402253054867,0.4922525266307509,Moderate
25.0,0.3744690275949764,31.331093907782645,10.289185880124586,7.119583997774648,0.6255309724050235,0.43528825368533086,0.7679274545954016,0.6193754199164139,0.24619221757798837,0.5171958364437836,High
26.0,0.2950687397936718,31.475899702464854,35.41355793067969,4.210483099787913,0.7049312602063282,0.0,0.8207072038645791,0.9507421053348888,0.8837309997350674,0.6637950772336338,High
27.0,0.3190198203976909,31.16284755207937,39.93492507680314,5.124128428459868,0.6809801796023092,0.1367085892003973,0.7066039385789331,0.850785412333908,0.9984621021970247,0.6731400105775658,High
