grid_id,lat_min,lat_max,lon_min,lon_max,ndvi,lst,urban,flood,rainfall,data_completeness
0,6.0,6.5,68.0,68.5,0.5800269914120542,29.50213880919477,0.0,0.9997356326020028,0.0051988934515425,0.0
1,6.0,6.5,68.5,69.0,0.5800269914120542,29.50213880919477,0.0,0.9997356326020028,0.0051988934515425,0.0
2,6.0,6.5,69.0,69.5,0.5800269914120542,29.50213880919477,0.0,0.9997356326020028,0.0051988934515425,0.0
3,6.0,6.5,69.5,70.0,0.5800269914120542,29.50213880919477,0.0,0.9997356326020028,0.0051988934515425,0.0
4,6.0,6.5,70.0,70.5,0.5800269914120542,29.50213880919477,0.0,0.9997356326020028,0.0051988934515425,0.0
5,6.0,6.5,70.5,71.0,0.5800269914120542,29.50213880919477,0.0,0.9997356326020028,0.0051988934515425,0.0
6,6.0,6.5,71.0,71.5,0.5800269914120542,29.50213880919477,0.0,0.9997356326020028,0.0051988934515425,0.0
7,6.0,6.5,71.5,72.0,0.5800269914120542,29.50213880919477,0.0,1.0,0.0051988934515425,0.2
8,6.0,6.5,72.0,72.5,0.214956059367569,29.50213880919477,0.0,1.0,0.0051988934515425,0.4
9,6.0,6.5,72.5,73.0,0.1499651041666666,29.340000000000032,0.001379336584556,0.9999178158954944,0.0051988934515425,0.6
10,6.0,6.5,73.0,73.5,0.2350676669403393,29.340000000000032,0.0055889771490491,0.9996358891530422,0.0051988934515425,0.6
11,6.0,6.5,73.5,74.0,0.2654221395265408,29.340000000000032,0.0,1.0,0.0051988934515425,0.4
12,6.0,6.5,74.0,74.5,0.2654221395265408,29.340000000000032,0.0,1.0,0.0051988934515425,0.0
13,6.0,6.5,74.5,75.0,0.2654221395265408,29.340000000000032,0.0,1.0,0.0051988934515425,0.0
14,6.0,6.5,75.0,75.5,0.2654221395265408,29.340000000000032,0.0,1.0,0.0051988934515425,0.0
15,6.0,6.5,75.5,76.0,0.2654221395265408,29.340000000000032,0.0,1.0,0.0051988934515425,0.0
16,6.0,6.5,76.0,76.5,0.2654221395265408,29.340000000000032,0.0,1.0,0.0051988934515425,0.0
17,6.0,6.5,76.5,77.0,0.2654221395265408,29.340000000000032,0.0,1.0,0.0051988934515425,0.0
18,6.0,6.5,77.0,77.5,0.2654221395265408,29.340000000000032,0.0,1.0,0.0051988934515425,0.0
19,6.0,6.5,77.5,78.0,0.2654221395265408,29.340000000000032,0.0,1.0,0.0051988934515425,0.0
20,6.0,6.5,78.0,78.5,0.2654221395265408,29.340000000000032,0.0,1.0,0.0051988934515425,0.0
21,6.0,6.5,78.5,79.0,0.2654221395265408,29.340000000000032,0.0,1.0,0.0051988934515425,0.0
22,6.0,6.5,79.0,79.5,0.535619596419183,29.340000000000032,0.1029750879190661,0.999766620765023,0.00974867308356345,0.0
23,6.0,6.5,79.5,80.0,0.535619596419183,29.002167193418337,0.1029750879190661,0.999766620765023,0.0097870630419429,1.0
24,6.0,6.5,80.0,80.5,0.7054304029485011,27.8111883808114,0.97751974383337,0.9893963831661836,0.0101801395411032,1.0
25,6.0,6.5,80.5,81.0,0.7080326926981786,28.58861446185301,0.7854226795904096,0.9008661631789936,0.0073504971897288,1.0
26,6.0,6.5,81.0,81.5,0.640798811844716,30.1466999613488,0.3683647775793902,0.9764339943255176,0.0054309441233562,1.0
27,6.0,6.5,81.5,82.0,0.5873232504763994,30.03850352003541,0.0001124280531939,0.9976539945488356,0.0052585208838791,1.0
28,6.0,6.5,82.0,82.5,0.6264441598085633,30.191870902155202,0.0,0.9976539945488356,0.0051988934515425,0.2
29,6.0,6.5,82.5,83.0,0.6264441598085633,30.191870902155202,0.0,0.9988269972744178,0.0051988934515425,0.2
30,6.0,6.5,83.0,83.5,0.6264441598085633,30.191870902155202,0.0,0.9988269972744178,0.0051988934515425,0.0
31,6.0,6.5,83.5,84.0,0.6264441598085633,30.191870902155202,0.0,0.9988269972744178,0.0051988934515425,0.0
32,6.0,6.5,84.0,84.5,0.6264441598085633,30.191870902155202,0.0,0.9988269972744178,0.0051988934515425,0.0
