grid_id,lst
0.0,31.940275298456697
1.0,31.619431453864138
2.0,30.44061780132904
3.0,29.882673235536572
4.0,30.370968627152877
5.0,31.24668770177749
6.0,30.36379861137334
7.0,31.18930629888189
8.0,31.967804953715188
9.0,31.519941694163776
10.0,30.21913296475674
11.0,30.18045351410632
12.0,30.399419328596196
13.0,30.528088596537657
14.0,30.716832108789788
15.0,31.60144951055878
16.0,31.612150692405407
17.0,31.44062369662703
18.0,30.636887156733906
19.0,30.84227045586408
20.0,30.35680912966211
21.0,29.22421869786365
22.0,30.32049728674241
23.0,31.110095406330686
24.0,31.465938055386687
25.0,31.331093907782645
26.0,31.475899702464858
27.0,31.16284755207937
28.0,30.443604702748758
29.0,30.61250225342144
30.0,30.275727395421256
31.0,30.352099645094597
32.0,31.593031388938925
33.0,31.313805853496433
34.0,31.903915898937953
35.0,30.559308221842457
36.0,31.39788027653384
37.0,30.844840319034347
38.0,30.12678829738843
39.0,30.813183965971405
40.0,31.566332926615985
41.0,31.263618877997374
42.0,30.606266146520454
43.0,29.960291042046038
44.0,30.287862992971725
45.0,30.12454443654076
46.0,30.49543839700158
47.0,29.94088994943729
48.0,31.464095854070933
49.0,30.637421946495806
50.0,30.78226518158317
51.0,30.154092028551247
52.0,30.103273004368475
53.0,30.64804611851372
54.0,30.219536666812758
55.0,30.840733462372953
56.0,31.62289469472921
57.0,30.466627686377706
58.0,30.535364444645495
59.0,30.7791153970482
60.0,30.50057905552012
61.0,30.78532423562706
62.0,31.497224922779253
63.0,31.826352833694273
