grid_id,lat_min,lat_max,lon_min,lon_max,ndvi,lst,urban,flood,rainfall,data_completeness,agro_zone,ndvi_baseline,vegetation_stress,flood_norm,lst_norm,veg_norm,urban_norm,rainfall_norm,crii,risk_category,crii_uncertainty
0,6.0,6.5,68.0,68.5,0.5800269914120542,29.50213880919477,0.0,0.9997356326020028,0.0051988934515425,0.0,West_Coast,0.2654221395265408,0.0,0.7660326412709246,0.384325434610696,0.0,0.0,0.4800998126432488,0.36543932281217606,Moderate,0.15
1,6.0,6.5,68.5,69.0,0.5800269914120542,29.50213880919477,0.0,0.9997356326020028,0.0051988934515425,0.0,West_Coast,0.2654221395265408,0.0,0.7660326412709246,0.384325434610696,0.0,0.0,0.4800998126432488,0.36543932281217606,Moderate,0.15
2,6.0,6.5,69.0,69.5,0.5800269914120542,29.50213880919477,0.0,0.9997356326020028,0.0051988934515425,0.0,West_Coast,0.2654221395265408,0.0,0.7660326412709246,0.384325434610696,0.0,0.0,0.4800998126432488,0.36543932281217606,Moderate,0.15
3,6.0,6.5,69.5,70.0,0.5800269914120542,29.50213880919477,0.0,0.9997356326020028,0.0051988934515425,0.0,West_Coast,0.2654221395265408,0.0,0.7660326412709246,0.384325434610696,0.0,0.0,0.4800998126432488,0.36543932281217606,Moderate,0.15
4,6.0,6.5,70.0,70.5,0.5800269914120542,29.50213880919477,0.0,0.9997356326020028,0.0051988934515425,0.0,West_Coast,0.2654221395265408,0.0,0.7660326412709246,0.384325434610696,0.0,0.0,0.4800998126432488,0.36543932281217606,Moderate,0.15
5,6.0,6.5,70.5,71.0,0.5800269914120542,29.50213880919477,0.0,0.9997356326020028,0.0051988934515425,0.0,West_Coast,0.2654221395265408,0.0,0.7660326412709246,0.384325434610696,0.0,0.0,0.4800998126432488,0.36543932281217606,Moderate,0.15
6,6.0,6.5,71.0,71.5,0.5800269914120542,29.50213880919477,0.0,0.9997356326020028,0.0051988934515425,0.0,West_Coast,0.2654221395265408,0.0,0.7660326412709246,0.384325434610696,0.0,0.0,0.4800998126432488,0.36543932281217606,Moderate,0.15
7,6.0,6.5,71.5,72.0,0.5800269914120542,29.50213880919477,0.0,1.0,0.0051988934515425,0.2,West_Coast,0.2654221395265408,0.0,0.766341498177374,0.384325434610696,0.0,0.0,0.4800998126432488,0.3655332168531279,Moderate,0.126
8,6.0,6.5,72.0,72.5,0.214956059367569,29.50213880919477,0.0,1.0,0.0051988934515425,0.4,West_Coast,0.2654221395265408,0.19013444061053872,0.766341498177374,0.384325434610696,0.30553290335789046,0.0,0.4800998126432488,0.426639797524706,Moderate,0.102
9,6.0,6.5,72.5,73.0,0.1499651041666666,29.340000000000032,0.001379336584556,0.9999178158954944,0.0051988934515425,0.6,West_Coast,0.2654221395265408,0.4349923505758591,0.7662454835837849,0.36259746112958174,0.699002639306942,0.00032787639709221485,0.4800998126432488,0.5005735830926105,High,0.078
10,6.0,6.5,73.0,73.5,0.2350676669403393,29.340000000000032,0.0055889771490491,0.9996358891530422,0.0051988934515425,0.6,West_Coast,0.2654221395265408,0.11436257080052455,0.7659161123293154,0.36259746112958174,0.1837727461682176,0.0013285326522755909,0.4800998126432488,0.3975775723980136,Moderate,0.078
11,6.0,6.5,73.5,74.0,0.2654221395265408,29.340000000000032,0.0,1.0,0.0051988934515425,0.4,West_Coast,0.2654221395265408,0.0,0.766341498177374,0.36259746112958174,0.0,0.0,0.4800998126432488,0.36075306268728274,Moderate,0.102
12,6.0,6.5,74.0,74.5,0.2654221395265408,29.340000000000032,0.0,1.0,0.0051988934515425,0.0,West_Coast,0.2654221395265408,0.0,0.766341498177374,0.36259746112958174,0.0,0.0,0.4800998126432488,0.36075306268728274,Moderate,0.15
13,6.0,6.5,74.5,75.0,0.2654221395265408,29.340000000000032,0.0,1.0,0.0051988934515425,0.0,West_Coast,0.2654221395265408,0.0,0.766341498177374,0.36259746112958174,0.0,0.0,0.4800998126432488,0.36075306268728274,Moderate,0.15
