grid_id,spi3_mean,spi3_min,drought_flag,rainfall
9,0.8488503377594361,-0.4493978626306836,0,0.35852494370676063
10,1.300164530554011,-0.4508373626393061,0,0.2833059115743315
23,1.2458886696758507,-0.024972270335634223,0,0.2923518883873582
24,1.5037188893566726,-0.10952116010352847,0,0.24938018510722124
25,1.4242476019795123,-0.38099381570570306,0,0.2626253996700813
26,1.324202766111759,-0.3731828893834737,0,0.2792995389813735
27,1.2939416646453095,-0.30669181282222524,0,0.2843430558924484
69,1.0858009106601172,-0.5891188056339897,0,0.3190331815566471
70,1.3538254212470453,-0.4353807836588667,0,0.27436242979215913
83,1.084382899637159,-0.053731945119890843,0,0.31926951672714016
84,1.015061921888582,-0.06602086833853647,0,0.3308230130185697
85,0.9179008277219682,-0.21042022515567185,0,0.3470165287130053
86,0.9733645391528019,-0.42615127536949315,0,0.3377725768078664
87,1.0096990768601002,-0.45324677366368443,0,0.33171682052331664
111,-0.4957305568737738,-0.9696404497024091,0,0.5826217594789623
129,1.0868210761327326,-0.593372611877134,0,0.3188631539778779
130,1.6120237286803438,-0.6362367227091275,0,0.23132937855327604
143,0.5698239003560062,-0.13526872671584572,0,0.40502934994066564
144,0.4987522762348846,-0.1948953632066714,0,0.4168746206275193
145,0.7119721650710784,-0.2913455298757863,0,0.3813379724881536
146,1.065142167300156,-0.3736231054371475,0,0.322476305449974
147,0.8999130076391724,-0.4806386255820629,0,0.35001449872680457
171,-0.6406498612228021,-1.1777439751592524,1,0.606774976870467
172,-0.5164876885528077,-1.304581986643516,1,0.586081281425468
203,0.17397627872423893,-0.7148634175152928,0,0.4710039535459602
204,0.2055147187055047,-0.6095395130404074,0,0.4657475468824159
205,0.4639945031567736,-0.24770195401979098,0,0.4226675828072044
206,0.6488665868025748,-0.10258109554230294,0,0.3918555688662375
207,0.4467683948032227,-0.2568955846020215,0,0.42553860086612955
230,-0.9563914418450922,-1.4671833438357402,1,0.6593985736408486
231,-0.8528866177179641,-1.3534295410773682,1,0.6421477696196607
249,-0.13346763963229735,-0.8792549476064121,0,0.5222446066053829
250,-0.08150823001670343,-0.7988885600456286,0,0.5135847050027839
257,-0.030720311670769367,-0.8447880665540857,0,0.5051200519451282
258,0.08827249896027249,-0.7261677588703329,0,0.4852879168399546
259,0.1986175908820364,-0.7313703148274162,0,0.4668970681863273
260,0.5872156623998954,-0.8731702251360864,0,0.4021307229333508
263,0.1841316877860226,-0.5769009915180463,0,0.46931138536899625
264,0.056773688173055975,-0.6659472519026648,0,0.49053771863782397
265,0.4090684813758885,-0.3150363253922269,0,0.43182191977068524
266,0.7891458090675098,-0.44250792776911047,0,0.36847569848874834
267,0.281667727444469,-0.37449127891993894,0,0.4530553787592552
290,-0.7761970193046979,-1.2950904272800836,1,0.6293661698841163
291,-0.8908843567109672,-1.4321067900059437,1,0.6484807261184945
299,-0.1115265352188653,-1.336681919236921,1,0.5185877558698109
316,0.1312790979258064,-0.9212031109160116,0,0.47812015034569894
317,0.06521300870761418,-0.867940843220962,0,0.4891311652153976
318,0.06263744705811664,-0.8318715211813505,0,0.48956042549031387
319,0.44071936985634663,-1.237192339441973,1,0.4265467716906089
320,0.6981659787838775,-1.040490786402855,1,0.38363900353602043
323,0.5857623868699178,-0.7307617830182821,0,0.40237293552168035
324,0.1896073336442979,-0.7106201445065458,0,0.46839877772595034
325,0.2649646840578273,-0.7126589552202294,0,0.4558392193236955
326,0.2863306949911706,-0.6265883025121265,0,0.4522782175014715
